Container ID,Bin Type,Bin Height,Fill Status,Number of Mold,Audit Date
ML030162811,,12,E,6,5/3/2024
ML030152811,ML-4,12,P,0,5/4/2024
ML030142811,ML-4,12,P,1,5/4/2024
ML030132811,ML-4,12,P,0,5/4/2024
ML030151621,ML-7,10,P,25,5/4/2024
ML030092311,ML-4,12,P,1,5/14/2024
ML030161621,ML-7,10,P,13,5/14/2024
ML030171621,ML-7,10,P,10,5/15/2024
ML030181621,,10,E,14,5/15/2024
ML030191621,ML-7,10,P,25,5/16/2024
ML030201621,,10,E,19,5/16/2024
ML030211621,ML-7,10,P,37,5/17/2024
ML030221621,ML-7,10,P,22,5/17/2024
ML030231621,ML-7,10,P,22,5/18/2024
ML030251621,ML-7,10,P,18,5/18/2024
ml030261621,ML-7,10,P,16,5/18/2024
ML030243611,ML-4,15,P,0,5/18/2024
ML030012311,ML-4,12,F,0,5/22/2024
ML030012411,ML-4,12,F,0,5/22/2024
ML030082411,ML-4,12,F,0,5/23/2024
ML030192911,ML-4,12,P,7,5/23/2024
ML030182911,ML-4,12,P,1,5/23/2024
ML030271621,ML-7,10,F,38,5/23/2024
ML030281621,,10,E,4,5/25/2024
ML030291621,,10,E,18,5/25/2024
ML030301621,ML-7,10,P,6,5/25/2024
ML030311621,ML-7,10,P,7,5/25/2024
ML030321621,ML-7,10,F,0,5/28/2024
ML030321521,ML-7,10,F,0,5/29/2024
ML030311521,ML-7,10,F,21,5/29/2024
ML030291521,ML-7,10,P,14,5/31/2024
ML020272011,ML-7,10,F,6,6/1/2024
ML020272111,ML-7,10,P,9,6/1/2024
ML030281521,ML-7,10,P,25,6/5/2024
ML030271521,,10,E,7,6/5/2024
ML030251521,ML-7,10,P,16,6/6/2024
ML030231521,,10,E,33,6/6/2024
ML030221521,ML-7,10,P,24,6/7/2024
ML030211521,ML-7,10,P,29,6/7/2024
ML030201521,ML-7,10,P,15,6/8/2024
ML030191521,ML-7,10,P,19,6/8/2024
ML030181521,,10,E,14,6/8/2024
ML010293311,,12,E,0,6/8/2024
ML010302621,,12,E,0,6/11/2024
ML010082721,,12,E,0,6/11/2024
ML030341421,ML-7,10,F,0,6/11/2024
ML020061511,ML-7,10,P,2,6/11/2024
ML030342011,ML-7,10,F,0,6/12/2024
ML020303111,,12,E,0,6/12/2024
ML010170411,ML-7,10,P,5,6/13/2024
ML020312411,,12,E,0,6/13/2024
ML030102721,,12,E,2,6/13/2024
ML010051621,,10,E,0,6/13/2024
ML010262821,ML-4,12,P,0,6/14/2024
ML030033221,,12,E,0,6/14/2024
ML010050621,ML-7,10,P,0,6/15/2024
ML010050411,,10,E,0,6/15/2024
ML030043111,,12,E,0,6/18/2024
ML020332921,,12,E,0,6/18/2024
ML030320721,,10,E,0,6/19/2024
ML020170721,ML-7,10,P,6,6/20/2024
ML030122721,ML-4,12,P,2,6/21/2024
ML020042521,ML-4,12,P,5,6/21/2024
ML030162911,ML-7,12,P,8,6/21/2024
ML030172911,ML-4,12,F,2,7/2/2024
ML030152911,ML-4,12,F,5,7/3/2024
ML030142911,ML-4,12,P,2,7/3/2024
ML030132911,ML-7,12,P,0,7/3/2024
ML030122911,,12,E,0,7/3/2024
ML030193011,ML-4,12,P,5,7/3/2024
ML030183011,ML-4,12,P,4,7/6/2024
ML030173011,ML-4,12,P,1,7/6/2024
ML030163011,ML-4,12,P,5,7/6/2024
ML030153011,ML-4,12,P,11,7/6/2024
ML010222221,ML-7,10,P,2,7/9/2024
ML010031321,ML-7,10,P,1,7/9/2024
ML020051711,ML-7,10,P,5,7/10/2024
ML020011621,ML-7,10,P,3,7/11/2024
ML020111121,,10,E,8,7/11/2024
ML010171011,ML-7,10,P,12,7/13/2024
ML030143011,ML-4,12,P,0,7/13/2024
ML030133011,ML-4,12,P,2,7/13/2024
ML030193111,,12,E,11,7/13/2024
ML030183111,ML-4,12,F,2,7/13/2024
ML010030321,ML-7,10,P,2,7/16/2024
ML020053511,ML-4,12,P,4,7/16/2024
ML020123521,ML-4,12,P,1,7/16/2024
ML010012611,ML-4,12,P,3,7/17/2024
ML010012511,ML-4,12,P,0,7/17/2024
ML010052411,,12,E,1,7/17/2024
ML010050221,ML-7,10,P,10,7/18/2024
ML010050111,ML-7,10,P,3,7/18/2024
ML010211011,ML-7,10,P,3,7/18/2024
ML010181021,ML-7,10,P,5,7/19/2024
ML010250921,ML-7,10,P,14,7/19/2024
ML010191711,ML-7,10,P,12,7/20/2024
ML010191611,ML-7,10,P,9,7/20/2024
ML010191211,ML-7,10,P,8,7/20/2024
ML010061511,,10,E,0,7/20/2024
ML030173111,ML-7,12,P,7,7/20/2024
ML010283121,ML-4,12,P,6,7/23/2024
ML010282411,,12,E,0,7/23/2024
ML010052511,ML-4,12,F,3,7/23/2024
ML010042321,ML-4,12,P,0,7/24/2024
ML010092511,ML-4,12,P,1,7/24/2024
ML010042411,ML-4,12,P,1,7/25/2024
ML010062821,ML-4,12,P,1,7/25/2024
ML010062611,ML-4,12,P,6,7/25/2024
ML020300811,ML-7,10,P,37,7/27/2024
ML010070811,ML-7,10,P,15,7/27/2024
ML010051021,ML-7,10,P,3,8/2/2024
ML010132111,ML-7,10,P,15,8/3/2024
ML010132011,ML-7,10,P,7,8/3/2024
ML020253611,ML-4,15,P,0,8/9/2024
ML020320621,ML-7,10,F,26,8/13/2024
ML020072621,ML-4,12,P,0,8/14/2024
ML020062421,ML-4,12,F,0,8/15/2024
ML020072521,ML-4,12,P,0,8/15/2024
ML010171721,ML-7,10,P,3,8/16/2024
ML010191011,ML-7,10,P,6,8/16/2024
ML010190921,ML-7,10,P,1,8/16/2024
ML010181911,,10,E,31,8/17/2024
ML010191911,ML-7,10,F,23,8/17/2024
ML010201911,ML-7,10,P,19,8/17/2024
ML010133611,ML-4,15,P,1,8/17/2024
ML010102221,ML-7,10,F,2,8/29/2024
ML010102111,ML-7,10,P,4,8/29/2024
ML010102211,ML-7,10,P,5,8/29/2024
ML010071911,ML-7,10,F,10,8/30/2024
ML010290111,ML-7,10,F,9,8/30/2024
ML010271921,ML-7,10,F,8,8/31/2024
ML020033621,ML-4,15,F,0,8/31/2024
ML010071021,ML-7,10,P,16,9/4/2024
ML010102011,ML-7,10,F,7,9/6/2024
ML020040111,ML-7,10,F,1,9/7/2024
ML010291321,ML-7,10,P,9,9/10/2024
ML010100521,ML-7,10,P,2,9/11/2024
ML010280721,ML-7,10,P,7,9/12/2024
ML010271121,ML-7,10,P,8,9/13/2024
ML010280211,ML-7,10,F,2,9/14/2024
ML010120211,ML-7,10,F,8,9/14/2024
ML010320821,ML-7,10,P,9,9/14/2024
ML010052921,ML-4,12,P,2,9/17/2024
ML010052821,ML-4,12,P,0,9/17/2024
ML010053621,ML-4,15,F,0,9/18/2024
ML010063311,ML-7,12,P,1,9/18/2024
ML010072711,ML-4,12,F,0,9/18/2024
ML010053221,ML-4,12,F,0,9/19/2024
ML010113011,ML-4,12,F,3,9/19/2024
ML010133311,ML-4,12,P,2,9/20/2024
ML010072721,ML-4,12,P,4,9/20/2024
ML010243311,ML-4,12,P,2,9/20/2024
ML010243211,,12,E,6,9/21/2024
ML010243111,ML-7,12,P,2,9/21/2024
ML010243011,ML-4,12,F,1,9/21/2024
ML010211911,ML-7,10,P,27,9/21/2024
ML010242911,ML-4,12,F,2,9/24/2024
ML010242811,ML-4,12,P,1,9/24/2024
ML010242711,ML-4,12,F,2,9/26/2024
ML010221911,ML-7,10,F,16,9/26/2024
